Date,AMD,AVGO,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PG,WMT,XOM
2020-01-03,-0.010183299705468052,-0.025435017168724428,-0.0052315277868639765,-0.011577574282845893,-0.0131963108179729,-0.005455623395401843,-0.0052912911530409446,-0.01245148387485806,-0.0160059685763273,-0.006725659049609534,-0.008828054086981285,-0.00803970043832214
2020-01-06,-0.004320968951973869,-0.0014960515891366821,0.02665431071041513,-0.0012479595879618666,-0.0007952707308643836,-0.00036581030359217337,0.018833635555974837,0.002584567050164077,0.004193517833833704,0.0013868899262918788,-0.0020358010828476214,0.007678224471147521
2020-01-07,-0.0028931471670650133,-0.0034425261857827794,-0.0019317389855326716,0.006107001748809848,-0.017000468839671434,-0.007682378365157727,0.00216362771888412,-0.009117825258549206,0.012106771386460657,-0.006191458671074068,-0.009264808901493948,-0.008183656300130182
2020-01-08,-0.008704625263115329,-0.012474378423612542,0.007117741475698436,-0.00013798575621204456,0.007800918071750207,0.0018431202998558938,0.010138022796837287,0.015928438244150245,0.0018755655264874882,0.004262591180563824,-0.003431574561984063,-0.015080812361154328
2020-01-09,0.023834399874688383,-0.008032622120128341,0.010498008834077588,0.002966445414215757,0.0036511819698366033,0.018215581359945388,0.014310852133008423,0.012493109379642986,0.010982846475919628,0.010937822641112316,0.010330710607284077,0.007655678347584738
2020-01-10,-0.01633659448265634,-0.022987086575605553,0.006458605295378117,-0.0022696260538430657,-0.009967803444225876,0.0034331696635252484,-0.0010993925232855029,-0.0046271588320594415,0.005349142558811915,0.0009689466709870143,-0.008350535639161438,-0.008887442617371288
2020-01-13,0.012040727695701081,0.006550524904030519,0.007747037973244275,0.004412106524828152,0.008304603316027226,0.010805142420311276,0.017655763183851425,0.012024627750301553,0.031352167349579574,0.007340521306307801,-0.004296424383983699,0.009545924700041342
2020-01-14,-0.011076941856971168,0.023241733144963472,-0.0065554340102441655,0.0056277742400936415,0.0116618626581253,-0.0023161488475026415,-0.012843094206899885,-0.007043240054536382,-0.018652181169588777,-0.0015214457989523034,0.002589107450063022,-0.00859620242548409
2020-01-15,0.007052482037847474,-0.0163540372634986,0.006018392753710078,0.0033442196020392334,-0.01498556313907895,0.012499978357050301,0.009540783789878216,0.006476005307130439,-0.006915182113458318,0.010185175372020794,-0.007746833394278951,-0.0015893621469166286
2020-01-16,0.02512875880277754,0.012898508800930575,0.007615377420260083,0.008094650157971728,0.003876163831731949,0.002116566013333987,0.002803531130766812,0.01832337675056306,0.013682306556975776,0.0008732095457397726,0.0053782595327454,-0.003908050719042766
