Date,AMD,AVGO,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PG,WMT,XOM
2020-01-02,49.099998474121094,27.6774959564209,67.87303161621094,122.63822937011719,118.4303207397461,45.43271255493164,208.14657592773438,151.82952880859375,5.970754146575928,104.73536682128906,36.28995895385742,52.94702911376953
2020-01-03,48.599998474121094,26.97351837158203,67.51795196533203,121.21837615966797,116.86747741699219,45.18484878540039,207.0452117919922,149.93902587890625,5.875186443328857,104.03095245361328,35.96958923339844,52.5213508605957
2020-01-06,48.38999938964844,26.933164596557617,69.31759643554688,121.06710052490234,116.7745361328125,45.16831970214844,210.9446258544922,150.32655334472656,5.899824142456055,104.17523193359375,35.8963623046875,52.92462158203125
2020-01-07,48.25,26.84044647216797,69.1836929321289,121.80645751953125,114.78931427001953,44.821319580078125,211.40103149414062,148.95590209960938,5.971251964569092,103.53023529052734,35.56378936767578,52.49150466918945
2020-01-08,47.83000183105469,26.50562858581543,69.6761245727539,121.7896499633789,115.68477630615234,44.9039306640625,213.54421997070312,151.3285369873047,5.982451438903809,103.97154235839844,35.441749572753906,51.69989013671875
2020-01-09,48.970001220703125,26.2927188873291,70.40758514404297,122.15093231201172,116.10716247558594,45.72188186645508,216.6002197265625,153.21910095214844,6.048155784606934,105.1087646484375,35.80788803100586,52.09568786621094
2020-01-10,48.16999816894531,25.688325881958008,70.86231994628906,121.87369537353516,114.9498291015625,45.87885284423828,216.36209106445312,152.5101318359375,6.080508232116699,105.21060943603516,35.508872985839844,51.6326904296875
2020-01-13,48.75,25.856597900390625,71.41129302978516,122.41141510009766,115.9044418334961,46.37458038330078,220.18212890625,154.34400939941406,6.271145343780518,105.98291015625,35.3563117980957,52.125572204589844
2020-01-14,48.209999084472656,26.457550048828125,70.94316101074219,123.1003189086914,117.256103515625,46.26716995239258,217.35430908203125,153.25692749023438,6.1541748046875,105.82166290283203,35.447853088378906,51.677490234375
2020-01-15,48.54999923706055,26.02486228942871,71.37012481689453,123.51199340820312,115.49895477294922,46.84550857543945,219.42803955078125,154.24942016601562,6.111617565155029,106.89947509765625,35.17324447631836,51.59535598754883
2020-01-16,49.77000045776367,26.360544204711914,71.91363525390625,124.51177978515625,115.94664764404297,46.94466018676758,220.043212890625,157.07579040527344,6.1952385902404785,106.9928207397461,35.3624153137207,51.39371871948242
2020-01-17,50.93000030517578,26.509920120239258,73.36959075927734,125.32673645019531,116.74917602539062,47.043800354003906,220.41033935546875,157.95489501953125,6.203950881958008,107.28141021728516,35.075618743896484,51.199562072753906
2020-01-21,51.04999923706055,26.44811248779297,73.50498962402344,125.4107894897461,115.60028839111328,47.233829498291016,219.71578979492188,157.3877716064453,6.170602321624756,107.00981140136719,35.26782989501953,50.46770095825195
2020-01-22,51.43000030517578,26.8687801361084,73.5853271484375,124.55376434326172,115.46512603759766,47.59735107421875,219.59674072265625,156.63153076171875,6.224606513977051,107.19651794433594,35.423439025878906,50.176456451416016
2020-01-23,51.709999084472656,27.442262649536133,73.62598419189453,124.78902435302734,115.34683227539062,47.77911376953125,218.04885864257812,157.59571838378906,6.2930474281311035,106.70648193359375,35.334957122802734,49.86281204223633
2020-01-24,50.349998474121094,27.815715789794922,72.70757293701172,124.61260986328125,112.48304748535156,47.65518569946289,216.2430419921875,156.0076141357422,6.2338151931762695,106.83454132080078,34.89558792114258,49.52674865722656
2020-01-27,49.2599983215332,26.53053092956543,70.99969482421875,124.97384643554688,111.536865234375,47.489952087402344,213.1969451904297,153.3987274169922,5.977972507476807,107.3040771484375,35.350215911865234,48.346839904785156
2020-01-28,50.529998779296875,27.327220916748047,71.93050384521484,125.60401916503906,113.56438446044922,47.101627349853516,216.0941925048828,156.4047088623047,6.171347618103027,107.59435272216797,35.57600402832031,48.27962875366211
2020-01-29,47.5099983215332,27.2585391998291,72.23795318603516,126.477783203125,113.39541625976562,47.101627349853516,221.49183654785156,158.84341430664062,6.1108717918396,106.76624298095703,35.35936737060547,47.876365661621094
2020-01-30,48.779998779296875,27.060222625732422,72.11644744873047,126.32653045654297,114.7977523803711,48.63010787963867,207.8985595703125,163.3240203857422,6.11759090423584,107.52603912353516,35.569908142089844,48.38418960571289
2020-01-31,47.0,26.198278427124023,71.0517578125,125.07467651367188,111.81563568115234,48.25006103515625,200.3378448486328,160.91360473632812,5.884146213531494,106.39060974121094,34.93220901489258,46.3902587890625
2020-02-03,48.02000045776367,26.204286575317383,73.52232360839844,126.16690826416016,112.66889953613281,48.398765563964844,202.60012817382812,164.83648681640625,5.981208801269531,106.8089370727539,34.86508560180664,45.352230072021484
2020-02-04,49.45000076293945,26.751161575317383,71.67809295654297,127.36832427978516,114.29086303710938,48.61358642578125,208.19618225097656,170.26231384277344,6.150440692901611,107.27845764160156,35.17020034790039,44.784671783447266
2020-02-05,49.84000015258789,27.24738311767578,71.7098159790039,129.3762969970703,116.23387908935547,48.62183380126953,208.47401428222656,170.0543670654297,6.240784168243408,108.26024627685547,35.64006805419922,46.84579849243164
2020-02-06,49.31999969482422,27.445693969726562,73.19355010986328,128.9898223876953,116.25080108642578,48.73751449584961,209.20826721191406,173.58030700683594,6.327641010284424,108.54197692871094,35.48751449584961,46.211036682128906
2020-02-07,49.72999954223633,27.06280517578125,73.3492660522461,127.6120376586914,115.87907409667969,48.90274429321289,210.67672729492188,173.8260040283203,6.261440753936768,107.63703918457031,35.53023147583008,45.90485763549805
2020-02-10,52.2599983215332,26.974376678466797,74.81465148925781,127.5867691040039,116.36061096191406,49.365421295166016,211.40103149414062,178.37278747558594,6.544659614562988,107.71385192871094,35.16409683227539,45.42005157470703
2020-02-11,53.79999923706055,27.486040115356445,74.88407897949219,127.69599914550781,116.58023071289062,49.23322677612305,205.57675170898438,174.3459014892578,6.667107105255127,105.99791717529297,35.209861755371094,45.85182571411133
2020-02-12,53.88999938964844,27.875812530517578,75.30908203125,126.93982696533203,116.58023071289062,49.08451461791992,209.1189422607422,174.6011505126953,6.782833576202393,105.3917465209961,35.347164154052734,46.412384033203125
2020-02-13,54.529998779296875,27.813138961791992,75.04922485351562,126.09969329833984,116.47889709472656,49.24974060058594,211.4804229736328,173.65589904785156,6.739030838012695,106.68087005615234,35.832298278808594,46.15483474731445
2020-02-14,55.310001373291016,27.28086280822754,75.31403350830078,126.13330078125,116.12409210205078,49.53066635131836,212.5122833251953,175.20608520507812,7.2121429443359375,107.68826293945312,35.96958923339844,45.942726135253906
2020-02-18,56.88999938964844,26.678186416625977,75.34923553466797,125.30152893066406,114.58655548095703,49.18365478515625,216.1041259765625,176.9832000732422,7.380878925323486,106.60403442382812,36.50048065185547,45.35945129394531
2020-02-19,58.900001525878906,27.102294921875,75.61851501464844,125.13348388671875,116.1493911743164,49.38194274902344,215.7965545654297,177.51400756835938,7.832090377807617,107.09064483642578,35.9055061340332,45.7078971862793
2020-02-20,57.27000045776367,26.54854965209961,75.22775268554688,124.65460205078125,116.1493911743164,49.34063720703125,212.90921020507812,174.80319213867188,7.682763576507568,108.06391143798828,35.908565521240234,45.344303131103516
2020-02-21,53.279998779296875,26.14162254333496,73.56497955322266,125.96524810791016,114.73014831542969,49.679378509521484,208.54342651367188,169.27716064453125,7.318660736083984,108.16633605957031,36.18012237548828,44.791316986083984
2020-02-24,49.119998931884766,25.034141540527344,70.41105651855469,123.36953735351562,111.64672088623047,48.45659637451172,199.15713500976562,161.978759765625,6.8012495040893555,105.26371765136719,35.49055862426758,42.693031311035156
